ProductID	day	TypeReward	Value
mio.iap.ttr.special_offer_ruby_1_saleoff	0	RUBY	200
mio.iap.ttr.special_offer_ruby_1_saleoff	1	RUBY	200
mio.iap.ttr.special_offer_ruby_1_saleoff	2	RUBY	200
mio.iap.ttr.special_offer_ruby_1_saleoff	3	RUBY	200
mio.iap.ttr.special_offer_ruby_1_saleoff	4	RUBY	200
mio.iap.ttr.special_offer_songpack_1_saleoff	0	SONGPACK	14
mio.iap.ttr.special_offer_songpack_1_saleoff	1	SONGPACK	9
mio.iap.ttr.special_offer_songpack_1_saleoff	2	SONGPACK	16
mio.iap.ttr.special_offer_songpack_1_saleoff	3	SONGPACK	13
mio.iap.ttr.special_offer_songpack_1_saleoff	4	SONGPACK	8
mio.iap.ttr.special_offer_vippass_saleoff	0	RUBY	100
mio.iap.ttr.special_offer_vippass_saleoff	1	RUBY	100
mio.iap.ttr.special_offer_vippass_saleoff	2	RUBY	350
mio.iap.ttr.special_offer_vippass_saleoff	3	RUBY	350
mio.iap.ttr.special_offer_vippass_saleoff	4	VIPPASS	1
