ID	offer	Song Name	Singer	Level Unlock	Price Ruby	duration	delay	version Notes Data	Is Local File	timeDrop	timeDropFinal	URL NotesData	MIDI File	MP3 File	isCrypto	youtubeId	endVideoTime	typeFREE	typePOP	typeEDM	typeROCK	Typenew	priceDollar	isHide
30001	NONE	Unique_Closer	The Chainsmokers ft Halsey	1	9999	01:34	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Closer_Thechainsmokersfthalsey.mid.encrypted	Closer_Thechainsmokersfthalsey.mid	The_Chainsmokers_-_Closer_Video_ft._Halsey.mp3	0	0zGcUoRlhmw	01:34	0	1	0	0	0	0	0
30002	NONE	Unique_Memories	KSHMR and BASSJACKERS ft SIRAH	2	9999	02:28	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Memories_Kshmrandbassjackersftsirah.mid.encrypted	Memories_Kshmrandbassjackersftsirah.mid	KSHMR_and_BASSJACKERS_ft_SIRAH_-_Memories_Official_Music_Video.mp3	0	LzVGvfBLEq0	02:28	0	1	0	0	0	0	0
30003	NONE	Unique_Summer	Calvin Harris	3	9999	01:33	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Summer_Calvinharris.mid.encrypted	Summer_Calvinharris.mid	Calvin_Harris_-_Summer_Official_Video.mp3	0	ebXbLfLACGM	01:33	0	1	0	0	0	0	0
30004	NONE	Unique_Lions In The Wild	Martin Garrix vs Third Party	4	9999	01:46	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Lionsinthewild_Martingarrix.mid.encrypted	Lionsinthewild_Martingarrix.mid	Martin_Garrix_Third_Party_-_Lions_In_The_Wild_Official_Video.mp3	0	95D6zmJreQU	01:46	0	1	0	0	0	0	0
30005	NONE	Unique_This Is What You Came For	Calvin Harris ft Rihanna	5	9999	02:06	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Thisiswhatyoucamefor_Calvinharris.mid.encrypted	Thisiswhatyoucamefor_Calvinharris.mid	Calvin_Harris_-_This_Is_What_You_Came_For_Official_Video_ft._Rihanna.mp3	0	kOkQ4T5WO9E	02:06	0	1	0	0	0	0	0
30006	NONE	Unique_Roses	The Chainsmokers ft Rozes	6	9999	01:51	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Roses_Thechainsmokersftrozes.mid.encrypted	Roses_Thechainsmokersftrozes.mid	The_Chainsmokers_-_Roses_ft._ROZES_Official_Music_Video.mp3	0	G5Mv2iV0wkU	01:51	0	1	0	0	0	0	0
30007	NONE	Unique_Stars	Ummet Ozcan ft. Katt Niall	7	9999	01:45	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Stars_Ummetozcanftkattniall.mid.encrypted	Stars_Ummetozcanftkattniall.mid	Ummet_Ozcan_ft._Katt_Niall_-_Stars_Official_Video.mp3	0	EMtRoqPvg-8	01:45	0	1	0	0	0	0	0
30008	NONE	Unique_Heathens	twenty one pilots	8	9999	02:13	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Heathens_Twentyonepilots.mid.encrypted	Heathens_Twentyonepilots.mid	twenty_one_pilots_-_Heathens_from_Suicide_Squad_-_The_Album_OFFICIAL_VIDEO.mp3	0	UprcpdwuwCg	02:13	0	1	0	0	0	0	0
30009	NONE	Unique_Uptown Funk	Mark Ronson ft Bruno Mars	9	9999	01:34	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Uptownfunk_Markronsonftbrunomars.mid.encrypted	Uptownfunk_Markronsonftbrunomars.mid	Mark_Ronson_-_Uptown_Funk_Official_Video_ft._Bruno_Mars.mp3	0	OPf0YbXqDm0	01:34	0	1	0	0	0	0	0
30010	NONE	Unique_My Way	Calvin Harris	10	9999	01:37	4	0	0	1.7	0.75	http://d1z6w4mqvvd0fx.cloudfront.net/song/midi/Myway_Calvinharris.mid.encrypted	Myway_Calvinharris.mid	Calvin_Harris_-_My_Way_Official_Video.mp3	0	b4Bj7Zb-YD4	01:37	0	1	0	0	0	0	0
