Level	EXPInTotal	ExpNeedtoNextLevel	RewardCoin	RewardRuby	RewardSong
1	0	25	0	0	
2	25	25	0	10	
3	50	25	0	10	
4	75	25	0	10	
5	100	50	0	10	
6	150	75	0	20	
7	225	100	0	20	
8	325	125	0	20	
9	450	150	0	20	
10	600	175	0	100	
11	775	234	0	30	
12	1009	297	0	30	
13	1306	364	0	30	
14	1670	435	0	30	
15	2105	510	0	150	
16	2615	620	0	30	
17	3235	736	0	30	
18	3971	858	0	30	
19	4829	986	0	30	
20	5815	1155	0	200	
21	6970	1330	0	35	
22	8300	1544	0	35	
23	9844	1799	0	35	
24	11643	2102	0	35	
25	13745	2455	0	250	
26	16200	2866	0	40	
27	19066	3338	0	40	
28	22403	3878	0	40	
29	26281	4493	0	40	
30	30774	5191	0	300	
31	35965	5979	0	45	
32	41944	6868	0	45	
33	48812	7866	0	45	
34	56679	8985	0	45	
35	65664	10210	0	350	
36	75874	11470	0	50	
37	87345	12765	0	50	
38	100110	14095	0	50	
39	114206	15460	0	50	
40	129666	16860	0	400	
41	146526	18295	0	55	
42	164822	19765	0	55	
43	184587	21270	0	55	
44	205857	22810	0	55	
45	228668	24385	0	450	
46	253053	25995	0	60	
47	279048	27640	0	60	
48	306689	29320	0	60	
49	336009	31035	0	60	
50	367045	32785	0	500	
51	399830	34570	0	70	
